Ticker,Sector,Market_Cap_Score,Debt_to_Equity,Current_Ratio,Interest_Coverage,ROA,Revenue_Growth_Vol
1120.SR,Banks,3.0,0.6719949999999999,1.7995,20.027335658901283,0.02476,0.018878516893566014
1010.SR,Banks,3.0,0.6719949999999999,1.7995,20.027335658901283,0.02103,0.015201421051363129
1180.SR,Banks,3.0,0.6719949999999999,1.7995,20.027335658901283,0.0212,0.031003233554979935
1080.SR,Banks,2.0,0.6719949999999999,1.7995,20.027335658901283,0.018819999,0.06794903804404227
2222.SR,Energy,3.0,0.21585000000000001,1.917,75.6890271391218,0.18844,0.03992606829943891
2010.SR,Energy,3.0,0.25948,1.781,8.115811837906424,0.0166,1.1457705889499785
2310.SR,Industry,2.0,0.2686,1.544,3.6172565228623097,-0.011080001,0.19137189549417158
2020.SR,Industry,3.0,0.994,8.307,90.97804517301944,0.10687,0.11534675372506827
7010.SR,Telecom,3.0,0.28293,1.618,22.861039257624885,0.056550004,0.013564270109880755
4190.SR,Retail,2.0,0.44476,1.32,25.25804966035998,0.16391,0.024052835019715862
4200.SR,Retail,2.0,3.06103,0.572,5.581275295417645,0.040170003,0.04766562829191459
4030.SR,Retail,2.0,0.64082,2.144,7.488297768711537,0.08796,0.12665695562648183
3030.SR,Cement,1.0,8.917,1.818,32.72725835353642,0.077589996,0.14735592349454446
3040.SR,Cement,1.0,3.911,3.715,90.57612807139456,0.04883,0.0451133915179448
3050.SR,Cement,1.0,0.42499000000000003,2.698,8.376653328658206,-0.008909999,0.4430485802221231
3060.SR,Cement,1.0,2.521,3.262,25.7412131319531,0.02734,0.1155290243344594
4003.SR,Services,1.0,1.24915,1.584,17.19363206017768,0.06983,0.15940734718432406
4008.SR,Services,1.0,0.70317,1.434,8.189859365917375,0.01096,0.08686570188347666
2150.SR,Mining,1.0,3.979,1.84,93.0800330538755,-0.00121,0.29860803199998376
1211.SR,Mining,3.0,0.52215,1.71,9.168223128617328,0.054180004,0.09225087079037403
